FID,Comment,GPS_Date,GPS_Time,Datafile,Unfilt_Pos,Latitude,Longitude,Point_ID
0,small trail off old field,7/21/2015 0:00:00,09:58:02am,LAA_MANMADE_7_21_15.,173,42.293774768,-85.696257073,11
1, ,7/21/2015 0:00:00,10:18:49am,LAA_MANMADE_7_21_15.,62,42.292042027,-85.696028743,13
2, ,7/21/2015 0:00:00,10:44:29am,LAA_MANMADE_7_21_15.,78,42.289163606,-85.696987240,20
3,nella langeland,7/21/2015 0:00:00,11:07:13am,LAA_MANMADE_7_21_15.,33,42.291640076,-85.698468271,25
4, ,7/21/2015 0:00:00,11:30:16am,LAA_MANMADE_7_21_15.,31,42.292428954,-85.702752775,37
5, ,7/21/2015 0:00:00,12:01:57pm,LAA_MANMADE_7_21_15.,112,42.290909124,-85.703133473,43
6, ,7/21/2015 0:00:00,12:08:38pm,LAA_MANMADE_7_21_15.,55,42.290770971,-85.705120820,45
7, ,7/21/2015 0:00:00,12:14:39pm,LAA_MANMADE_7_21_15.,52,42.289740770,-85.706228012,47
8, ,7/24/2015 0:00:00,10:33:48am,LAA_MANMADE_7_21_15.,102,42.293813054,-85.699776501,77
